horizon,feature,gain,split,block,gain_pct_horizon
1,route_id,3084957.480676174,52506,ids_time,0.07422162525738513
1,office_from_id,393390.9233317375,5632,ids_time,0.009464672973316046
1,hour,344830.2683773041,14836,ids_time,0.008296342208027462
1,minute,1105.4214243888855,65,ids_time,2.659556095226749e-05
1,dow,43239.97402858734,2307,ids_time,0.0010403194107509832
1,target_2h,2104061.0926833153,5072,current_target,0.05062203771623977
1,status_sum,7670.861123561859,551,status_agg,0.0001845548223211366
1,status_max,9915.224242687225,748,status_agg,0.00023855241529045922
1,status_1,4412.47598361969,278,raw_status,0.00010616066541106731
1,status_2,6320.538321971893,435,raw_status,0.00015206712886542469
1,status_3,2955.7141909599304,189,raw_status,7.111213442114574e-05
1,status_4,9290.642554283142,487,raw_status,0.000223525476245195
1,status_5,42761.41818189621,1318,raw_status,0.001028805737405296
1,status_6,79464.52647972107,1063,raw_status,0.0019118533537585967
1,status_7,12544.44759941101,945,raw_status,0.0003018094397139998
1,status_8,56188.40976381302,1163,raw_status,0.0013518484839486488
1,target_lag_1,87456.07572364807,1462,short_lags,0.0021041236773932295
1,target_lag_2,47949.02011299133,1325,short_lags,0.0011536153170918972
1,target_lag_3,1094014.2291193008,4390,short_lags,0.026321112899793407
1,target_lag_4,573785.0703902245,4407,short_lags,0.013804812785766866
1,target_lag_6,53525.53955364227,1591,short_lags,0.0012877819429715502
1,target_lag_8,33442.55985403061,1655,short_lags,0.0008046014120718064
1,target_lag_12,16540.731511592865,1019,short_lags,0.00039795685464921835
1,target_lag_24,32786.79708528519,1089,short_lags,0.0007888242810142659
1,target_lag_48,17099.733308792114,1162,mid_lags,0.0004114059936308141
1,target_lag_96,14757.376429080963,1075,mid_lags,0.0003550507486609959
1,target_lag_144,24930.447452545166,1194,mid_lags,0.0005998067525767536
1,target_lag_192,18902.39862537384,1163,long_lags,0.0004547766885042126
1,target_lag_240,19678.644615650177,1158,long_lags,0.00047345255011939765
1,target_lag_288,17276.923510551453,1087,long_lags,0.00041566904906565905
1,target_lag_336,16261.989931583405,1109,long_lags,0.00039125055376024176
1,target_lag_672,14449.864047527313,1112,long_lags,0.00034765224515206645
1,target_roll_mean_2,211729.49007463455,1060,roll_mean,0.005094043262084866
1,target_roll_std_2,65868.62198162079,1447,roll_std,0.0015847466966930949
1,target_roll_mean_4,41044.750448703766,710,roll_mean,0.0009875040760428428
1,target_roll_std_4,299003.702229023,2442,roll_std,0.0071937914465352885
1,target_roll_mean_8,25547.060149669647,1147,roll_mean,0.0006146419640250772
1,target_roll_std_8,27256.09867811203,1384,roll_std,0.0006557600727844499
1,target_roll_mean_16,15625.546222686768,804,roll_mean,0.00037593822392910495
1,target_roll_std_16,10185.521165847778,680,roll_std,0.0002450555444469264
1,target_roll_mean_48,887056.3342609406,2813,roll_mean,0.02134187042645219
1,target_roll_std_48,261435.8562898636,1027,roll_std,0.00628993892976987
1,target_roll_mean_96,24336198.16024971,2613,roll_mean,0.5855095868756067
