variant,rows,mean_score,win_rate,brier,logloss,auc_binned,expected_loss_wape_like,auto_threshold,auto_rows,auto_share,auto_win_rate,auto_expected_loss_wape_like,manual_rows,manual_share,manual_win_rate,manual_expected_loss_wape_like,auto_vs_manual_win_lift,horizon
full,335000,0.7729608492260549,0.7467522388059702,0.19991946720365794,0.5951119096722011,0.41199825363773673,0.025832631013529672,0.65,326988,0.9760835820895523,0.7408406424700601,0.026053080964573993,8012,0.02391641791044776,0.9880179730404394,0.010679965988401763,-0.24717733057037927,1
no_agreement_with_blend,335000,0.7405707996407551,0.7467522388059702,0.1952120909595644,0.5801800790450194,0.45822242194955076,0.025832631013529672,0.65,328970,0.982,0.742429400857221,0.02582830279593433,6030,0.018,0.9825870646766169,0.036928867256072535,-0.24015766381939596,1
full,334000,0.7430722684201723,0.7089940119760479,0.21636377920449026,0.6282686938824072,0.4550465262902236,0.030699955062740626,0.65,310672,0.9301556886227544,0.6963453417108719,0.02907308140457019,23328,0.0698443113772455,0.8774434156378601,0.05856773149816333,-0.18109807392698818,2
no_agreement_with_blend,334000,0.708143168843078,0.7089940119760479,0.21190209480537744,0.6154445761920319,0.48453553724716764,0.030699955062740626,0.65,291248,0.872,0.6995550184035598,0.027133337546673558,42752,0.128,0.7732971556886228,0.07316908076647292,-0.07374213728506296,2
full,333000,0.7107453789355698,0.6625075075075075,0.23360849901305525,0.6630381424157361,0.4658404536225343,0.033890967661460054,0.65,287207,0.8624834834834835,0.6488316788936203,0.028686863852329245,45793,0.13751651651651653,0.7482803048500862,0.07995862144286593,-0.09944862595646597,3
no_agreement_with_blend,333000,0.673023960932597,0.6625075075075075,0.22903423603225295,0.6510795531608448,0.4866513611839821,0.033890967661460054,0.65,241758,0.726,0.6522100613009704,0.026491157251780473,91242,0.274,0.6897919817627847,0.06676799540137003,-0.0375819204618143,3
full,332000,0.6844593939147441,0.6269789156626506,0.2433435496064017,0.682014722359156,0.47787294457518875,0.03410702481683096,0.65,252250,0.759789156626506,0.6111119920713578,0.028560849747005353,79750,0.24021084337349397,0.6771661442006269,0.06149337396464291,-0.06605415212926913,4
no_agreement_with_blend,332000,0.6445746856322848,0.6269789156626506,0.23880586504694762,0.6709092865889368,0.4931054600210624,0.03410702481683096,0.65,163012,0.491,0.6241442347802616,0.02592227457512948,168988,0.509,0.6297133524273913,0.046375304362411954,-0.005569117647129751,4
full,331000,0.6682438931697445,0.6175800604229608,0.24418839469283862,0.6829941884071621,0.4926506199122167,0.03444624583227992,0.65,219988,0.6646163141993958,0.6091695910686037,0.02710849073907231,111012,0.33538368580060424,0.6342467480993046,0.05671776346102117,-0.025077157030700903,5
no_agreement_with_blend,331000,0.6278504049585305,0.6175800604229608,0.2403904832726495,0.6739022610203834,0.5048669247929898,0.03444624583227992,0.65,126442,0.382,0.6355878584647506,0.023719253408597277,204558,0.618,0.606449026681919,0.04482675475249049,0.02913883178283161,5
full,330000,0.6539972778326634,0.6145848484848485,0.2435327680395296,0.6811056149060469,0.4975150284519092,0.03531930274706322,0.65,189914,0.5754969696969697,0.6117874406310224,0.025917003594435526,140086,0.4245030303030303,0.6183772825264481,0.054353363040263,-0.006589841895425663,6
no_agreement_with_blend,330000,0.6136925124656071,0.6145848484848485,0.2406759203299847,0.6743420125213316,0.5091485363607466,0.03531930274706322,0.65,80190,0.243,0.6588352662426736,0.021125690284364222,249810,0.757,0.6003802890196549,0.04266722693890727,0.058454977223018734,6
full,329000,0.6401313356363121,0.6116413373860182,0.2429924877196629,0.6795987318810288,0.5032677136494957,0.03594279070519327,0.65,156085,0.4744224924012158,0.6211743601242913,0.024568473745797296,172915,0.5255775075987842,0.6030361738426394,0.05136880253603705,0.01813818628165187,7
no_agreement_with_blend,329000,0.5997674312891388,0.6116413373860182,0.2411214619382466,0.6751657894869765,0.5144057254817209,0.03594279070519327,0.65,56917,0.173,0.6775304390603861,0.018687050298582857,272083,0.827,0.5978580065641734,0.04154331410846611,0.0796724324962127,7
full,328000,0.6240388610984494,0.6068567073170732,0.2434417973020655,0.6802483699272627,0.5048671872789717,0.037469027672714844,0.65,118915,0.3625457317073171,0.6253374258924442,0.02345390231299172,209085,0.6374542682926829,0.5963459836908435,0.049921502300866345,0.02899144220160077,8
no_agreement_with_blend,328000,0.5840143755397237,0.6068567073170732,0.24246311857750397,0.6778795116930906,0.5159084213346304,0.037469027672714844,0.65,53792,0.164,0.6776658239143367,0.018928540239404545,274208,0.836,0.5929659236783755,0.04304110211936909,0.08469990023596119,8
full,327000,0.6108359080009869,0.6021804281345565,0.24233100658838636,0.6777997820627379,0.5185709988758861,0.03818944206972704,0.65,88009,0.2691406727828746,0.6444454544421593,0.021302706239615946,238991,0.7308593272171254,0.5866162324104255,0.048370562695639975,0.057829222031733796,9
no_agreement_with_blend,327000,0.5708886347506025,0.6021804281345565,0.2420358280736331,0.6769956777021238,0.5290048762442124,0.03818944206972704,0.65,39567,0.121,0.6837010640179948,0.018466255597634134,287433,0.879,0.5909585886102152,0.04340023757943929,0.09274247540777958,9
full,326000,0.5999131944027781,0.6089815950920245,0.24161488187182953,0.6762134167024947,0.5169898374126264,0.038535790549311826,0.65,69949,0.2145674846625767,0.668058156656993,0.020232160179773417,256051,0.7854325153374233,0.5928428320920441,0.04665439337680739,0.07521532456494884,10
no_agreement_with_blend,326000,0.560281955870474,0.6089815950920245,0.2426910117174315,0.6783424034930139,0.5278959996095298,0.038535790549311826,0.65,26406,0.081,0.702264636824964,0.01701106660144959,299594,0.919,0.600759694786945,0.04253768812605138,0.10150494203801896,10
